cv	name	definition	
goldenbraid	Vector	''
goldenbraid	Enzyme	''
goldenbraid	Description	''
goldenbraid	Enzyme_in	''
goldenbraid	Enzyme_out	''
goldenbraid	Resistance	''
goldenbraid	Reference	''
goldenbraid	Part	''
goldenbraid	PROM+UTR+ATG	''
goldenbraid	CDS	''
goldenbraid	TER	''
goldenbraid	SP	''
goldenbraid	CT	''
goldenbraid	PROM+UTR	''
goldenbraid	NT	''
goldenbraid	OP	''
goldenbraid	MinPROM	''
goldenbraid	INTERACTION ADAPTOR	''
goldenbraid	5'FS	''
goldenbraid	Target	''
goldenbraid	FS	''
goldenbraid	goi	''
goldenbraid	int	''
goldenbraid	iog	''
goldenbraid	PROM+UTR+mir173	''
goldenbraid	Superpart	''
goldenbraid	TU	''
goldenbraid	Module	''
goldenbraid	Phrase	''
