name	type	vector	genbank_file	properties	owner	is_public
pAn11	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pAn11.gb	Description=Solanum lycopersicum transcription factor	admin	1
pAnt1	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pANT1.gb	Description=Solanum lycopersicum transcription factor	admin	1
pBFP	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pBFP.gb	Description=Blue Fluorescent Protein	admin	1
pDelila	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pDelila.gb	Description=Antirrhinum majus transcription factor	admin	1
pJaf13	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pJAF13.gb	Description=Solanum lycopersicum transcription factor	admin	1
pLuciferase	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pLuciferase.gb		admin	1
pMyb12	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pMYB12.gb	Description=Solanum lycopersicum transcription factor	admin	1
pP2A11	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pP2A11.gb	Description=Solanum lycopersicum fruit promoter	admin	1
pP35S	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pP35S.gb	Description=CaMV 35S promoter	admin	1
pP35SnoATG	PROM+UTR	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pP35SNOATG.gb	Description=CaMV 35S promoter	admin	1
pPAct2	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPAct.gb	Description=Arabidopsis thaliana Actin2 promoter	admin	1
pPAtS23-2	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPAtS23-2.gb	Description=Arabidopsis thaliana seed promoter	admin	1
pPE8	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPE8.gb	Description=Solanum lycopersicum fruit promoter	admin	1
pPmtb	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPmtb.gb	Description=Solanum lycopersicum promoter	admin	1
pPPG	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPPG.gb	Description=Solanum lycopersicum fruit promoter	admin	1
pPtctp	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPtctp.gb	Description=Solanum lycopersicum promoter	admin	1
pPUbc	PROM+UTR+ATG	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pPUbc.gb	Description=Solanum lycopersicum promoter	admin	1
pT35S	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pT35S.gb	Description=CaMV 35S terminator	admin	1
pT2A11	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTerm2A11.gb	Description=Solanum lycopersicum terminator	admin	1
pTAct2	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTermAct2.gb	Description=Arabidopsis thaliana terminator	admin	1
pTE8	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTermE8.gb	Description=Solanum lycopersicum terminator	admin	1
pTmtb	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTermMtb.gb	Description=Solanum lycopersicum terminator	admin	1
pTPG	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTermPG.gb	Description=Solanum lycopersicum promoter	admin	1
pTnos	TER	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pTnos.gb	Description=Agrobacterium tumefaciens terminator	admin	1
pYFP	CDS	pUPD	/home/peio/devel/goldenbraid/db_loading/genbank/pYFP.gb	Description=Yellow Fluorescence Protein	admin	1
